year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FED,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,cpi
1980-01-01,10.969577515927739,9.446025083159997,7.770117407115481,9.446025083159997,8.8366041100529,5.789499244517416,9.506967180470706,9.446025083159997,6.094209731070965,9.446025083159997,9.446025083159997,3.8088810819193535,8.8366041100529,9.446025083159997,7.008341190731609,7.008341190731609,6.094209731070965,4.875367784856773,6.551275460901287,9.446025083159997,9.446025083159997,9.446025083159997,9.446025083159997,9.446025083159997,8.8366041100529,9.446025083159997,9.446025083159997,6.094209731070965,8.379538380222577,9.446025083159997,4.875367784856773,9.446025083159997,9.446025083159997,8.074827893669028,8.379538380222577,9.446025083159997,7.008341190731609,6.094209731070965,8.8366041100529,9.446025083159997,8.074827893669028,9.446025083159997,7.008341190731609,9.446025083159997,4.265946811749675,7.922472650392255,7.1606964340083845,9.446025083159997,7.008341190731609,9.141314596606447,6.703630704178062,4.875367784856773,34.768954688201
1981-01-01,10.632513707160617,9.251667771165732,7.456568054372381,9.251667771165732,9.251667771165732,5.2472145567805635,9.306901608605527,9.251667771165732,5.523383743979541,9.251667771165732,9.251667771165732,3.452114839987213,8.561244803168288,9.251667771165732,6.351891305576471,6.351891305576471,5.523383743979541,4.4187069951836335,5.937637524778006,9.251667771165732,9.251667771165732,9.251667771165732,9.251667771165732,9.251667771165732,8.561244803168288,9.251667771165732,9.251667771165732,5.523383743979541,8.008906428770334,8.561244803168288,4.4187069951836335,9.251667771165732,9.251667771165732,8.008906428770334,7.594652647971869,9.251667771165732,6.351891305576471,8.561244803168288,8.561244803168288,9.251667771165732,8.008906428770334,9.251667771165732,6.351891305576471,9.251667771165732,3.866368620785678,7.594652647971869,7.3184834607728915,9.251667771165732,6.351891305576471,8.975498583966754,7.594652647971869,4.4187069951836335,38.3622271820165
1982-01-01,10.018251904907574,8.717180228945551,7.025787050194922,8.717180228945551,8.717180228945551,4.944072368655685,8.769223095984032,8.717180228945551,5.20428670384809,8.717180228945551,8.717180228945551,3.2526791899050562,8.06664439096454,8.717180228945551,5.984929709425303,5.984929709425303,5.20428670384809,4.163429363078473,5.594608206636696,8.717180228945551,8.717180228945551,8.717180228945551,8.717180228945551,8.717180228945551,8.06664439096454,8.717180228945551,8.717180228945551,5.20428670384809,7.54621572057973,8.06664439096454,4.163429363078473,8.717180228945551,8.717180228945551,7.54621572057973,7.155894217791124,8.717180228945551,5.984929709425303,8.06664439096454,8.06664439096454,8.717180228945551,7.54621572057973,8.717180228945551,5.984929709425303,8.717180228945551,3.6430006926936622,7.155894217791124,6.895679882598719,8.717180228945551,5.984929709425303,8.456965893753145,7.155894217791124,4.163429363078473,40.7143791373614
1983-01-01,9.706438843610249,8.445862370414112,6.807112955259135,8.445862370414112,8.445862370414112,4.790190598145316,8.496285429341956,8.445862370414112,5.042305892784544,8.445862370414112,8.445862370414112,3.1514411829903404,7.815574133816043,8.445862370414112,5.798651776702225,5.798651776702225,5.042305892784544,4.0338447142276355,5.420478834743385,8.445862370414112,8.445862370414112,8.445862370414112,8.445862370414112,8.445862370414112,7.815574133816043,8.445862370414112,8.445862370414112,5.042305892784544,7.311343544537589,7.815574133816043,4.0338447142276355,8.445862370414112,8.445862370414112,7.311343544537589,6.933170602578748,8.445862370414112,5.798651776702225,7.815574133816043,7.815574133816043,8.445862370414112,7.311343544537589,8.445862370414112,5.798651776702225,8.445862370414112,3.5296141249491804,6.933170602578748,6.681055307939521,8.445862370414112,5.798651776702225,8.193747075774883,6.933170602578748,4.0338447142276355,42.0223021977326
1984-01-01,9.306221487151413,8.097621294014866,6.526441042937355,8.097621294014866,8.097621294014866,4.592680733918879,8.145965301740327,8.097621294014866,4.834400772546188,8.097621294014866,8.097621294014866,3.021500482841368,7.493321197446592,8.097621294014866,5.559560888428116,5.559560888428116,4.834400772546188,3.8675206180369512,5.196980830487153,8.097621294014866,8.097621294014866,8.097621294014866,8.097621294014866,8.097621294014866,7.493321197446592,8.097621294014866,8.097621294014866,4.834400772546188,7.009881120191973,7.493321197446592,3.8675206180369512,8.097621294014866,8.097621294014866,7.009881120191973,6.647301062251009,8.097621294014866,5.559560888428116,7.493321197446592,7.493321197446592,8.097621294014866,7.009881120191973,8.097621294014866,5.559560888428116,8.097621294014866,3.3840805407823313,6.647301062251009,6.405581023623699,8.097621294014866,5.559560888428116,7.855901255387556,6.647301062251009,3.8675206180369512,43.8294862112563
1985-01-01,8.98755477679188,7.820339870715012,6.302960492815084,7.820339870715012,7.820339870715012,4.435416643092096,7.867028466958086,7.820339870715012,4.668859624307469,7.820339870715012,7.820339870715012,2.9180372651921687,7.236732417676578,7.820339870715012,5.369188567953589,5.369188567953589,4.668859624307469,3.735087699445976,5.019024096130529,7.820339870715012,7.820339870715012,7.820339870715012,7.820339870715012,7.820339870715012,7.236732417676578,7.820339870715012,7.820339870715012,4.668859624307469,6.769846455245831,7.236732417676578,3.735087699445976,7.820339870715012,7.820339870715012,6.769846455245831,6.4196819834227705,7.820339870715012,5.369188567953589,7.236732417676578,7.236732417676578,7.820339870715012,6.769846455245831,7.820339870715012,5.369188567953589,7.820339870715012,3.268201737015228,6.4196819834227705,6.1862390022073965,7.820339870715012,5.369188567953589,7.586896889499637,6.4196819834227705,3.735087699445976,45.3835238259984
1986-01-01,8.820144230124662,7.674670953485095,6.185555693853659,7.674670953485095,7.674670953485095,4.352798451230352,7.720489884550677,7.674670953485095,4.581893106558265,7.674670953485095,7.674670953485095,2.863683191598916,7.101934315165312,7.674670953485095,5.269177072542004,5.269177072542004,4.581893106558265,3.6655144852466126,4.925535089550135,7.674670953485095,7.674670953485095,7.674670953485095,7.674670953485095,7.674670953485095,7.101934315165312,7.674670953485095,7.674670953485095,4.581893106558265,6.643745004509484,7.101934315165312,3.6655144852466126,7.674670953485095,7.674670953485095,6.643745004509484,6.300103021517615,7.674670953485095,5.269177072542004,7.101934315165312,7.101934315165312,7.674670953485095,6.643745004509484,7.674670953485095,5.269177072542004,7.674670953485095,3.2073251745907854,6.300103021517615,6.071008366189702,7.674670953485095,5.269177072542004,7.445576298157181,6.300103021517615,3.6655144852466126,46.2449247662966
1987-01-01,8.508350352682774,7.403369787399296,5.966895052530776,7.403369787399296,7.403369787399296,4.198926148077212,7.447569010010635,7.403369787399296,4.419922261133908,7.403369787399296,7.403369787399296,2.7624514132086926,6.8508795047575575,7.403369787399296,5.082910600303993,5.082910600303993,4.419922261133908,3.5359378089071267,4.751416430718951,7.403369787399296,7.403369787399296,7.403369787399296,7.403369787399296,7.403369787399296,6.8508795047575575,7.403369787399296,7.403369787399296,4.419922261133908,6.408887278644166,6.8508795047575575,3.5359378089071267,7.403369787399296,7.403369787399296,6.408887278644166,6.077393109059123,7.403369787399296,5.082910600303993,6.8508795047575575,6.8508795047575575,7.403369787399296,6.408887278644166,7.403369787399296,5.082910600303993,7.403369787399296,3.093945582793735,6.077393109059123,5.856396996002427,7.403369787399296,5.082910600303993,7.1823736743426,6.077393109059123,3.5359378089071267,47.9395992692507
1988-01-01,8.174995212376126,7.1133075224571485,6.900969984473352,7.1133075224571485,7.1133075224571485,6.3701261395138635,7.96265767439233,7.1133075224571485,7.1133075224571485,7.1133075224571485,7.1133075224571485,6.900969984473352,8.174995212376126,7.1133075224571485,4.8837633736272945,4.8837633736272945,4.246750759675909,3.3974006077407277,7.1133075224571485,7.1133075224571485,7.750320136408535,7.1133075224571485,7.750320136408535,7.1133075224571485,7.537982598424739,7.1133075224571485,7.1133075224571485,7.1133075224571485,7.1133075224571485,6.5824636774976595,7.1133075224571485,7.537982598424739,7.1133075224571485,7.1133075224571485,7.1133075224571485,7.1133075224571485,4.8837633736272945,7.1133075224571485,7.1133075224571485,7.1133075224571485,7.750320136408535,7.1133075224571485,5.945451063546272,7.1133075224571485,7.1133075224571485,5.839282294554375,5.6269447565705795,7.537982598424739,4.8837633736272945,7.1133075224571485,7.1133075224571485,3.3974006077407277,49.8944520153969
1989-01-01,7.798558554640327,6.785758742349375,6.583198779891185,6.785758742349375,6.785758742349375,6.076798873745709,7.595998592182136,6.785758742349375,6.785758742349375,6.785758742349375,6.785758742349375,6.583198779891185,7.798558554640327,6.785758742349375,4.658879136538377,4.658879136538377,4.0511992491638065,3.2409593993310453,6.785758742349375,6.785758742349375,7.3934386297239465,6.785758742349375,7.3934386297239465,6.785758742349375,7.190878667265755,6.785758742349375,6.785758742349375,6.785758742349375,6.785758742349375,6.279358836203899,6.785758742349375,7.190878667265755,6.785758742349375,6.785758742349375,6.785758742349375,6.785758742349375,4.658879136538377,6.785758742349375,6.785758742349375,6.785758742349375,7.3934386297239465,6.785758742349375,5.671678948829328,6.785758742349375,6.785758742349375,5.570398967600234,5.367839005142042,7.190878667265755,4.658879136538377,6.785758742349375,6.785758742349375,3.2409593993310453,52.3028587260267
