,year,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,United States not seasonally adjusted
10,1985-01-01,82.33083333333333,60.03333333333333,66.52666666666667,61.89916666666666,46.56916666666666,45.05416666666667,58.0225,44.36583333333334,52.26083333333332,61.38500000000001,54.77916666666666,52.17416666666666,52.79833333333334,56.44499999999999,46.00416666666666,53.17083333333332,59.95666666666668,53.35333333333333,70.40500000000002,48.02416666666666,53.56999999999999,53.80083333333334,39.905,48.63333333333333,58.00749999999999,66.1825,52.17083333333333,54.42583333333334,69.83083333333333,56.39333333333334,55.21000000000001,51.335,64.125,61.55416666666665,53.7725,50.6175,79.045,40.075,53.68083333333333,46.98916666666666,55.99583333333333,57.47166666666666,57.11499999999999,75.99083333333334,49.905,54.96916666666666,51.74500000000001,40.99666666666667,47.42666666666667,63.10333333333333,62.11833333333334,51.91166666666666
11,1986-01-01,79.06333333333333,63.15416666666666,68.29833333333333,64.37833333333333,49.51500000000001,45.83583333333333,72.32666666666667,47.84833333333333,58.32833333333334,63.14333333333334,58.29083333333333,55.0925,53.44666666666666,57.03166666666667,49.14333333333334,55.91583333333333,61.669166666666676,55.40500000000001,68.79333333333334,60.22416666666667,57.80833333333333,61.60166666666668,42.99916666666666,50.36249999999999,60.70833333333334,67.36083333333333,53.50416666666667,57.74666666666666,69.69083333333332,57.0275,68.74833333333333,62.34166666666667,66.63166666666667,63.44166666666666,63.64916666666667,53.29916666666667,76.41166666666669,39.361666666666665,58.83416666666667,57.973333333333336,58.61416666666668,57.66166666666666,60.54166666666668,75.36083333333335,50.025,58.43166666666665,57.49,41.856666666666655,48.98916666666667,64.01833333333333,59.86000000000001,55.37749999999999
12,1987-01-01,67.31083333333332,65.49916666666665,69.25333333333333,65.36583333333334,54.04583333333333,45.255,90.80416666666667,53.84416666666666,65.89333333333333,65.12,61.58250000000001,59.55833333333334,53.59583333333333,55.60833333333334,53.65083333333333,58.55333333333334,63.08916666666667,58.46083333333334,66.05916666666667,68.96416666666667,64.70333333333333,72.38583333333334,47.1875,52.76416666666666,63.99916666666668,67.69666666666667,52.30833333333334,61.14916666666667,69.00249999999998,57.29333333333334,79.7,76.53750000000002,67.40583333333332,65.17916666666667,74.09166666666667,56.69416666666667,70.365,39.97583333333333,66.99833333333332,76.96416666666667,61.21166666666666,58.73833333333332,64.01083333333334,71.31166666666667,49.3425,64.045,66.49499999999999,43.31916666666667,50.69333333333334,65.94083333333334,54.75749999999999,59.2475
13,1988-01-01,68.68916666666667,66.865,69.03,65.55333333333333,61.76083333333335,44.10333333333333,98.145,62.99666666666666,73.02999999999999,67.9275,64.115,68.73333333333335,54.5425,55.7625,58.10583333333332,61.50916666666666,63.67583333333332,61.21666666666667,62.57500000000001,71.7875,72.40833333333333,81.30416666666666,50.57666666666666,54.3825,65.59499999999998,67.75166666666667,51.715,63.80750000000001,67.07333333333334,57.53666666666666,82.97666666666667,83.05583333333334,67.09916666666668,66.94166666666668,79.97166666666666,60.155,65.69,41.12666666666667,74.87916666666666,86.65749999999998,63.66416666666667,57.61166666666668,66.09916666666668,67.70583333333333,48.0325,70.79666666666667,75.93416666666667,45.145,52.79583333333333,67.22500000000001,51.44583333333333,63.03416666666666
14,1989-01-01,60.99250000000001,68.46083333333333,69.68166666666666,65.37249999999999,74.28833333333334,44.23833333333334,96.90916666666668,70.25083333333335,79.93083333333333,70.79416666666667,65.72333333333333,84.80083333333332,57.76749999999999,58.02333333333333,62.63083333333333,64.50583333333333,64.61416666666666,63.88583333333332,62.36833333333334,72.025,79.67583333333333,84.905,54.05666666666665,56.18583333333334,66.89750000000001,68.1975,53.3825,66.04916666666666,68.3275,59.21250000000001,82.60583333333331,83.17083333333333,68.14416666666666,69.88749999999999,81.63749999999997,63.29750000000001,66.46916666666667,44.57916666666667,80.15500000000002,89.34666666666668,66.10833333333333,59.27,67.53416666666666,67.28666666666666,48.68333333333334,76.57916666666667,82.16250000000002,50.78,55.62583333333334,68.63083333333333,53.69166666666666,67.68083333333333
15,1990-01-01,64.68333333333332,70.06249999999999,70.74,64.97166666666668,80.68999999999998,45.14666666666667,92.01833333333332,73.01083333333331,82.88666666666666,72.28666666666666,66.2925,107.35583333333334,60.92583333333332,63.00333333333333,66.07416666666667,67.01,64.89,65.90916666666666,63.4375,69.25416666666666,83.1425,83.16999999999999,57.04166666666666,57.42166666666667,67.65083333333332,68.81583333333334,56.12166666666667,67.47333333333334,69.69749999999999,61.80166666666667,78.09833333333334,80.15333333333334,69.15833333333335,75.40916666666669,80.48,66.35000000000001,67.34166666666668,51.3,82.69666666666666,88.88083333333331,68.39166666666667,62.07583333333334,68.3625,67.64083333333333,50.42833333333334,78.27333333333333,83.69333333333334,62.2525,58.66583333333333,70.88666666666666,57.46916666666666,70.59499999999998
16,1991-01-01,71.80916666666666,71.41000000000003,71.59666666666669,65.21750000000002,79.02333333333333,46.51750000000001,86.29083333333334,71.9475,83.13416666666667,72.59083333333334,66.09416666666665,116.29833333333336,63.544166666666676,67.21666666666667,68.27916666666665,69.42083333333332,65.58083333333333,67.73083333333334,64.98500000000001,64.27416666666667,83.10166666666666,79.50999999999998,58.79916666666667,58.29333333333334,68.32000000000001,70.30833333333332,59.16833333333333,68.65916666666666,71.05166666666666,63.86833333333334,70.12916666666666,76.47333333333333,70.59500000000001,78.97166666666666,78.23916666666669,68.6775,69.545,56.07750000000001,83.35916666666667,83.8,69.77416666666667,64.555,68.6425,69.06416666666667,52.91166666666667,77.60166666666667,81.85249999999998,65.77916666666667,61.14666666666667,73.57166666666667,61.33166666666668,70.85666666666668
17,1992-01-01,75.00083333333333,73.82166666666666,74.18499999999997,66.62749999999998,77.17083333333333,50.36416666666667,83.565,72.58749999999998,83.05,73.4066666666667,67.02416666666667,115.16,67.03416666666666,72.415,70.94500000000002,72.52833333333334,67.38833333333334,70.51333333333334,68.87083333333332,62.82666666666666,84.11416666666666,78.21416666666669,60.97166666666667,60.17750000000001,69.84083333333332,72.48833333333333,64.75333333333333,70.34750000000001,73.9225,68.38833333333334,66.53416666666668,76.84833333333334,74.34666666666669,80.66250000000002,78.46166666666666,71.8141666666667,72.145,61.18166666666666,84.83,81.30749999999998,71.45833333333333,67.92333333333333,70.23583333333333,71.25833333333334,56.88499999999999,78.22583333333333,81.63333333333334,69.24416666666666,65.08583333333335,76.70833333333333,65.49499999999999,71.97333333333334
18,1993-01-01,77.19416666666667,76.9275,77.65750000000001,68.17500000000001,72.43166666666667,55.64833333333333,79.45499999999998,69.7975,82.34333333333333,74.41833333333334,68.58333333333333,114.63583333333332,71.77333333333334,78.45583333333335,73.74499999999998,75.85,71.09166666666665,73.51666666666667,72.27166666666666,60.88666666666666,83.66666666666667,75.635,64.32666666666667,62.785,72.19250000000002,74.38333333333334,72.19833333333334,72.2633333333333,78.49916666666667,72.4,64.21,76.5441666666667,79.30083333333333,81.48,77.44083333333333,75.16250000000002,75.41833333333334,66.5175,85.37666666666667,79.00166666666667,72.56,72.64916666666666,72.83666666666667,73.74166666666667,64.32499999999999,78.56833333333333,82.14416666666666,71.98333333333333,70.22666666666667,80.20416666666667,70.16666666666666,72.50416666666666
19,1994-01-01,81.44166666666666,80.50499999999998,82.58,72.51416666666667,69.6375,62.02,78.71583333333331,68.46166666666666,82.40583333333333,76.37750000000003,71.01416666666667,114.29166666666669,76.21499999999997,85.41666666666667,76.65333333333331,79.63666666666667,75.51583333333333,77.57583333333334,76.86416666666669,62.125,84.23083333333331,75.40833333333335,66.19000000000001,65.61166666666666,75.5225,78.92583333333334,79.92166666666667,75.77333333333334,83.15666666666667,76.30416666666666,64.83999999999999,76.70666666666666,87.305,84.4275,77.27,78.59916666666669,79.375,73.67500000000003,86.18916666666667,77.6975,75.17833333333333,78.4208333333333,77.17083333333333,76.09666666666666,75.01916666666666,80.05166666666669,82.18250000000002,75.50999999999998,75.345,84.2275,77.04416666666667,74.0825
